Time;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Precip.;Condition
1420077600;24.0;23.0;0.94;E;1.9444444444444444;0.0;1001.23;0.0;Fair
1420081200;24.0;22.0;0.89;NE;1.9444444444444444;0.0;1000.24;0.0;Partly Cloudy
1420084800;23.0;22.0;0.94;NE;1.9444444444444444;0.0;1000.24;0.0;Partly Cloudy
1420088400;23.0;22.0;0.94;ENE;1.1111111111111112;0.0;1000.24;0.0;Partly Cloudy
1420092000;23.0;23.0;1.0;N;1.6666666666666665;0.0;1000.24;0.0;Partly Cloudy
1420095600;23.0;22.0;0.94;N;1.1111111111111112;0.0;1000.24;0.0;Fair
1420099200;23.0;22.0;0.94;NNW;1.1111111111111112;0.0;1001.23;0.0;Partly Cloudy
1420102800;25.0;23.0;0.89;N;1.1111111111111112;0.0;1002.22;0.0;Fair
1420106400;27.0;22.0;0.74;E;1.6666666666666665;0.0;1002.22;0.0;Fair
1420110000;29.0;21.0;0.62;SE;1.6666666666666665;0.0;1002.22;0.0;Partly Cloudy
1420113600;29.0;21.0;0.62;E;2.5;0.0;1001.23;0.0;Partly Cloudy
1420117200;27.0;23.0;0.79;SE;5.555555555555555;0.0;1002.22;0.0;Partly Cloudy
1420120800;27.0;23.0;0.79;E;4.722222222222222;0.0;1001.23;0.0;Partly Cloudy
1420124400;28.0;22.0;0.7;E;3.611111111111111;0.0;1000.24;0.0;Partly Cloudy
1420128000;28.0;22.0;0.7;SE;4.722222222222222;0.0;999.26;0.0;Mostly Cloudy
1420131600;29.0;22.0;0.66;SE;7.222222222222222;0.0;999.26;0.0;Mostly Cloudy
1420135200;28.0;21.0;0.66;SSE;5.277777777777778;0.0;999.26;0.0;Mostly Cloudy
1420138800;27.0;22.0;0.74;ESE;5.277777777777778;0.0;999.26;0.0;Mostly Cloudy
1420142400;26.0;22.0;0.78;ESE;4.166666666666667;0.0;1000.24;0.0;Partly Cloudy
1420146000;25.0;23.0;0.89;E;1.9444444444444444;0.0;1000.24;0.0;Fair
1420149600;23.0;22.0;0.94;NE;1.1111111111111112;0.0;1001.23;0.0;Fair
1420153200;24.0;23.0;0.94;WNW;1.1111111111111112;0.0;1001.23;0.0;Fair
1420156800;24.0;23.0;0.94;ENE;1.1111111111111112;0.0;1001.23;0.0;Mostly Cloudy
1420160400;23.0;23.0;1.0;NE;1.1111111111111112;0.0;1000.24;0.0;Partly Cloudy
1420164000;23.0;23.0;1.0;E;1.9444444444444444;0.0;1000.24;0.0;Mostly Cloudy
