Time;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Precip.;Condition
1420077600;26.0;21.0;0.74;E;4.166666666666667;0.0;1013.28;0.0;Partly Cloudy
1420081200;25.0;22.0;0.83;E;3.611111111111111;0.0;1013.28;0.0;Partly Cloudy
1420084800;25.0;22.0;0.83;E;4.722222222222222;0.0;1013.28;0.0;Partly Cloudy
1420088400;25.0;22.0;0.83;E;4.722222222222222;0.0;1013.28;0.0;Partly Cloudy
1420092000;25.0;21.0;0.78;E;5.277777777777778;0.0;1013.28;0.0;Partly Cloudy
1420095600;26.0;22.0;0.78;ENE;2.5;0.0;1013.28;0.0;Partly Cloudy
1420099200;26.0;21.0;0.74;NE;1.9444444444444444;0.0;1014.28;0.0;Partly Cloudy
1420102800;28.0;22.0;0.7;ENE;3.611111111111111;0.0;1015.28;0.0;Partly Cloudy
1420106400;28.0;22.0;0.7;NE;5.277777777777778;0.0;1015.28;0.0;Partly Cloudy
1420110000;29.0;22.0;0.66;E;5.277777777777778;0.0;1015.28;0.0;Fair
1420113600;29.0;21.0;0.62;E;5.555555555555555;0.0;1015.28;0.0;Fair
1420117200;29.0;22.0;0.66;E;5.555555555555555;0.0;1015.28;0.0;Fair
1420120800;30.0;23.0;0.66;ENE;4.722222222222222;0.0;1014.28;0.0;Fair
1420124400;30.0;22.0;0.62;E;5.555555555555555;0.0;1013.28;0.0;Fair
1420128000;30.0;22.0;0.62;E;7.222222222222222;0.0;1012.28;0.0;Fair
1420131600;29.0;22.0;0.66;E;7.222222222222222;0.0;1012.28;0.0;Fair
1420135200;29.0;22.0;0.66;E;5.555555555555555;0.0;1012.28;0.0;Fair
1420138800;28.0;22.0;0.7;E;6.111111111111111;0.0;1012.28;0.0;Fair
1420142400;27.0;22.0;0.74;E;4.166666666666667;0.0;1012.28;0.0;Fair
1420146000;27.0;22.0;0.74;E;5.277777777777778;0.0;1012.28;0.0;Fair
1420149600;26.0;22.0;0.78;E;5.555555555555555;0.0;1013.28;0.0;Fair
1420153200;26.0;21.0;0.74;E;7.222222222222222;0.0;1013.28;0.0;Fair
1420156800;26.0;22.0;0.78;E;4.722222222222222;0.0;1013.28;0.0;Partly Cloudy
1420160400;26.0;22.0;0.78;E;6.111111111111111;0.0;1013.28;0.0;Partly Cloudy
1420164000;26.0;21.0;0.74;E;6.111111111111111;0.0;1012.28;0.0;Partly Cloudy
1420167600;26.0;21.0;0.74;ENE;6.666666666666666;0.0;1012.28;0.0;Partly Cloudy
1420171200;26.0;21.0;0.74;ENE;5.277777777777778;0.0;1012.28;0.0;Partly Cloudy
1420174800;25.0;21.0;0.78;ENE;4.166666666666667;0.0;1012.28;0.0;Fair
1420178400;25.0;21.0;0.78;ENE;3.0555555555555554;0.0;1012.28;0.0;Fair
1420182000;25.0;21.0;0.78;ENE;3.0555555555555554;0.0;1013.28;0.0;Partly Cloudy
1420185600;25.0;21.0;0.78;N;1.6666666666666665;0.0;1014.28;0.0;Partly Cloudy
1420189200;27.0;21.0;0.7;E;4.166666666666667;0.0;1014.28;0.0;Partly Cloudy
1420192800;28.0;21.0;0.66;E;5.277777777777778;0.0;1014.28;0.0;Partly Cloudy
1420196400;29.0;21.0;0.62;E;5.277777777777778;0.0;1014.28;0.0;Partly Cloudy
1420200000;29.0;21.0;0.62;ENE;4.722222222222222;0.0;1014.28;0.0;Partly Cloudy
1420203600;29.0;22.0;0.66;E;5.277777777777778;0.0;1014.28;0.0;Partly Cloudy
1420207200;29.0;21.0;0.62;E;5.277777777777778;0.0;1014.28;0.0;Partly Cloudy
1420210800;30.0;22.0;0.62;ESE;5.277777777777778;0.0;1013.28;0.0;Partly Cloudy
1420214400;28.0;22.0;0.7;E;5.555555555555555;0.0;1012.28;0.0;Partly Cloudy
1420218000;28.0;21.0;0.66;E;6.111111111111111;0.0;1012.28;0.0;Partly Cloudy
1420221600;28.0;21.0;0.66;E;5.277777777777778;0.0;1011.28;0.0;Partly Cloudy
1420225200;28.0;21.0;0.66;E;4.722222222222222;0.0;1011.28;0.0;Partly Cloudy
1420228800;27.0;22.0;0.74;ENE;4.166666666666667;0.0;1012.28;0.0;Fair
1420232400;26.0;22.0;0.78;ENE;4.166666666666667;0.0;1012.28;0.0;Fair
1420236000;26.0;22.0;0.78;ENE;4.722222222222222;0.0;1012.28;0.0;Fair
1420239600;26.0;21.0;0.74;ENE;6.111111111111111;0.0;1013.28;0.0;Fair
1420243200;26.0;21.0;0.74;E;5.277777777777778;0.0;1013.28;0.0;Fair
1420246800;26.0;21.0;0.74;E;6.666666666666666;0.0;1012.28;0.0;Fair
1420250400;26.0;21.0;0.74;E;4.166666666666667;0.0;1012.28;0.0;Fair
1420254000;25.0;20.0;0.74;E;5.277777777777778;0.0;1011.28;0.0;Fair
1420257600;25.0;21.0;0.78;E;4.722222222222222;0.0;1011.28;0.0;Fair
1420261200;25.0;20.0;0.74;E;4.722222222222222;0.0;1011.28;0.0;Fair
1420264800;25.0;20.0;0.74;E;5.555555555555555;0.0;1011.28;0.0;Fair
1420268400;24.0;20.0;0.78;E;4.722222222222222;0.0;1012.28;0.0;Partly Cloudy
1420272000;25.0;20.0;0.74;E;3.611111111111111;0.0;1013.28;0.0;Fair
1420275600;27.0;20.0;0.65;ENE;3.611111111111111;0.0;1013.28;0.0;Partly Cloudy
1420279200;28.0;21.0;0.66;ENE;4.166666666666667;0.0;1013.28;0.0;Partly Cloudy
1420282800;28.0;21.0;0.66;ENE;5.555555555555555;0.0;1013.28;0.0;Partly Cloudy
1420286400;29.0;20.0;0.58;E;6.111111111111111;0.0;1014.28;0.0;Partly Cloudy
1420290000;29.0;21.0;0.62;E;5.555555555555555;0.0;1013.28;0.0;Partly Cloudy
1420293600;29.0;21.0;0.62;E;5.555555555555555;0.0;1013.28;0.0;Partly Cloudy
1420297200;29.0;21.0;0.62;E;5.277777777777778;0.0;1013.28;0.0;Partly Cloudy
1420300800;29.0;20.0;0.58;E;6.111111111111111;0.0;1012.28;0.0;Fair
1420304400;29.0;20.0;0.58;E;6.666666666666666;0.0;1011.28;0.0;Fair
1420308000;29.0;20.0;0.58;E;6.111111111111111;0.0;1011.28;0.0;Fair
1420311600;28.0;20.0;0.62;E;6.666666666666666;0.0;1011.28;0.0;Fair
1420315200;27.0;19.0;0.61;E;4.722222222222222;0.0;1012.28;0.0;Fair
1420318800;26.0;20.0;0.69;E;4.722222222222222;0.0;1012.28;0.0;Fair
1420322400;26.0;20.0;0.69;E;4.722222222222222;0.0;1012.28;0.0;Fair
1420326000;26.0;20.0;0.69;E;5.555555555555555;0.0;1013.28;0.0;Fair
1420329600;26.0;20.0;0.69;E;5.277777777777778;0.0;1013.28;0.0;Fair
1420333200;26.0;20.0;0.69;E;6.111111111111111;0.0;1013.28;0.0;Fair
1420336800;26.0;20.0;0.69;E;5.277777777777778;0.0;1012.28;0.0;Fair
1420340400;26.0;20.0;0.69;E;4.722222222222222;0.0;1012.28;0.0;Fair
1420344000;25.0;20.0;0.74;E;3.611111111111111;0.0;1012.28;0.0;Fair
1420347600;24.0;20.0;0.78;ENE;2.5;0.0;1012.28;0.0;Fair
1420351200;24.0;20.0;0.78;E;3.0555555555555554;0.0;1012.28;0.0;Fair
1420354800;24.0;20.0;0.78;ENE;1.1111111111111112;0.0;1013.28;0.0;Fair
1420358400;24.0;21.0;0.83;NW;1.1111111111111112;0.0;1014.28;0.0;Fair
1420362000;26.0;21.0;0.74;N;1.6666666666666665;0.0;1014.28;0.0;Partly Cloudy
1420364100;23.0;19.0;0.78;E;9.166666666666666;0.0;1015.28;0.0;Heavy Rain Shower / Windy
1420365600;24.0;22.0;0.89;CALM;0.0;0.0;1015.28;0.0;Mostly Cloudy
1420369200;28.0;21.0;0.66;E;4.166666666666667;0.0;1015.28;0.0;Mostly Cloudy
1420372800;29.0;22.0;0.66;E;5.555555555555555;0.0;1015.28;0.0;Partly Cloudy
1420376400;29.0;22.0;0.66;ESE;5.555555555555555;0.0;1015.28;0.0;Partly Cloudy
1420380000;29.0;21.0;0.62;E;6.666666666666666;0.0;1014.28;0.0;Partly Cloudy
1420383600;28.0;21.0;0.66;ESE;6.666666666666666;0.0;1014.28;0.0;Partly Cloudy
1420387200;29.0;20.0;0.58;E;6.666666666666666;0.0;1013.28;0.0;Partly Cloudy
1420390800;29.0;21.0;0.62;E;6.111111111111111;0.0;1013.28;0.0;Partly Cloudy
1420394400;28.0;22.0;0.7;E;5.555555555555555;0.0;1013.28;0.0;Partly Cloudy
1420398000;28.0;20.0;0.62;E;4.166666666666667;0.0;1013.28;0.0;Partly Cloudy
1420401600;27.0;21.0;0.7;E;4.166666666666667;0.0;1013.28;0.0;Partly Cloudy
1420405200;26.0;21.0;0.74;E;4.722222222222222;0.0;1013.28;0.0;Partly Cloudy
1420408800;26.0;21.0;0.74;E;4.166666666666667;0.0;1014.28;0.0;Partly Cloudy
1420412400;26.0;21.0;0.74;E;4.722222222222222;0.0;1014.28;0.0;Partly Cloudy
1420416000;26.0;21.0;0.74;E;3.611111111111111;0.0;1014.28;0.0;Fair
1420419600;26.0;21.0;0.74;E;4.722222222222222;0.0;1014.28;0.0;Fair
1420509600;26.0;22.0;0.78;E;2.5;0.0;1014.28;0.0;Mostly Cloudy
1420513200;26.0;22.0;0.78;E;3.611111111111111;0.0;1014.28;0.0;Partly Cloudy
1420516800;26.0;22.0;0.78;E;3.611111111111111;0.0;1014.28;0.0;Partly Cloudy
1420520400;26.0;22.0;0.78;ENE;3.0555555555555554;0.0;1014.28;0.0;Mostly Cloudy
1420524000;26.0;22.0;0.78;E;3.0555555555555554;0.0;1014.28;0.0;Mostly Cloudy
1420527600;25.0;22.0;0.83;ENE;4.166666666666667;0.0;1014.28;0.0;Mostly Cloudy
1420531200;25.0;22.0;0.83;NNW;1.1111111111111112;0.0;1015.28;0.0;Partly Cloudy
1420534800;26.0;23.0;0.83;WNW;1.6666666666666665;0.0;1015.28;0.0;Fair
1420538400;28.0;22.0;0.7;E;5.277777777777778;0.0;1015.28;0.0;Fair
1420542000;29.0;23.0;0.7;E;3.0555555555555554;0.0;1016.28;0.0;Fair
1420545600;29.0;22.0;0.66;E;4.722222222222222;0.0;1016.28;0.0;Fair
1420549200;30.0;23.0;0.66;E;5.555555555555555;0.0;1016.28;0.0;Fair
1420552800;29.0;22.0;0.66;E;5.555555555555555;0.0;1015.28;0.0;Fair
1420556400;29.0;23.0;0.7;E;6.111111111111111;0.0;1015.28;0.0;Fair
1420560000;29.0;22.0;0.66;E;5.277777777777778;0.0;1014.28;0.0;Fair
1420563600;29.0;23.0;0.7;E;5.277777777777778;0.0;1014.28;0.0;Fair
1420567200;29.0;22.0;0.66;E;5.555555555555555;0.0;1014.28;0.0;Fair
1420570800;28.0;22.0;0.7;E;5.277777777777778;0.0;1014.28;0.0;Fair
1420574400;27.0;22.0;0.74;E;6.111111111111111;0.0;1014.28;0.0;Fair
1420578000;27.0;21.0;0.7;ESE;5.277777777777778;0.0;1014.28;0.0;Fair
1420581600;27.0;22.0;0.74;E;5.555555555555555;0.0;1015.28;0.0;Fair
1420585200;27.0;22.0;0.74;E;4.166666666666667;0.0;1015.28;0.0;Fair
1420588800;26.0;22.0;0.78;E;5.555555555555555;0.0;1015.28;0.0;Partly Cloudy
1420592400;26.0;22.0;0.78;E;5.555555555555555;0.0;1015.28;0.0;Partly Cloudy
1420596000;26.0;22.0;0.78;E;4.722222222222222;0.0;1014.28;0.0;Partly Cloudy
1420599600;26.0;21.0;0.74;E;4.166666666666667;0.0;1014.28;0.0;Partly Cloudy
1420603200;26.0;22.0;0.78;E;3.0555555555555554;0.0;1013.28;0.0;Mostly Cloudy
1420606800;26.0;21.0;0.74;E;3.611111111111111;0.0;1013.28;0.0;Mostly Cloudy
1420610400;24.0;21.0;0.83;E;3.611111111111111;0.0;1013.28;0.0;Partly Cloudy
1420614000;25.0;21.0;0.78;E;3.611111111111111;0.0;1014.28;0.0;Partly Cloudy
1420617600;26.0;21.0;0.74;E;4.166666666666667;0.0;1014.28;0.0;Partly Cloudy
1420621200;26.0;22.0;0.78;E;5.555555555555555;0.0;1014.28;0.0;Partly Cloudy
1420624800;28.0;22.0;0.7;E;5.277777777777778;0.0;1015.28;0.0;Partly Cloudy
1420628400;29.0;21.0;0.62;SE;5.277777777777778;0.0;1015.28;0.0;Partly Cloudy
1420632000;28.0;20.0;0.62;ESE;6.666666666666666;0.0;1015.28;0.0;Mostly Cloudy
1420635600;28.0;23.0;0.74;ESE;5.277777777777778;0.0;1015.28;0.0;Partly Cloudy
1420639200;29.0;22.0;0.66;SE;4.166666666666667;0.0;1014.28;0.0;Partly Cloudy
1420640400;27.0;22.0;0.74;SE;5.555555555555555;0.0;0.0;0.0;Rain Shower
1420642800;26.0;23.0;0.83;E;3.611111111111111;0.0;1014.28;0.0;Partly Cloudy
1420646400;27.0;23.0;0.79;E;5.277777777777778;0.0;1014.28;0.0;Partly Cloudy
1420650000;28.0;22.0;0.7;E;6.666666666666666;0.0;1013.28;0.0;Partly Cloudy
1420653600;28.0;22.0;0.7;E;6.111111111111111;0.0;1013.28;0.0;Partly Cloudy
1420657200;27.0;21.0;0.7;E;6.111111111111111;0.0;1013.28;0.0;Mostly Cloudy
1420660800;24.0;21.0;0.83;E;6.111111111111111;0.0;0.0;0.0;Rain Shower
1420661460;0.0;0.0;0.0;ESE;4.722222222222222;0.0;1014.28;0.0;Light Rain
1420664400;23.0;21.0;0.88;SE;1.1111111111111112;0.0;0.0;0.0;Light Rain
1420668000;25.0;22.0;0.83;E;4.166666666666667;0.0;1015.28;0.0;Partly Cloudy
1420671600;25.0;22.0;0.83;NE;3.0555555555555554;0.0;1015.28;0.0;Partly Cloudy
1420675200;25.0;21.0;0.78;E;3.611111111111111;0.0;1015.28;0.0;Partly Cloudy
1420678800;25.0;21.0;0.78;E;3.611111111111111;0.0;1014.28;0.0;Partly Cloudy
1420682400;24.0;21.0;0.83;E;3.611111111111111;0.0;1014.28;0.0;Partly Cloudy
1420686000;25.0;21.0;0.78;E;4.166666666666667;0.0;1013.28;0.0;Partly Cloudy
1420689600;25.0;22.0;0.83;E;2.5;0.0;1013.28;0.0;Partly Cloudy
1420693200;25.0;20.0;0.74;ESE;3.611111111111111;0.0;1013.28;0.0;Partly Cloudy
1420696800;26.0;21.0;0.74;E;4.166666666666667;0.0;1013.28;0.0;Partly Cloudy
