Time;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Precip.;Condition
1420160400;21.0;18.0;0.83;W;1.1111111111111112;0.0;897.99;0.0;Fair
1420077600;21.0;17.0;0.78;CALM;0.0;0.0;897.99;0.0;Fair
1420081200;21.0;17.0;0.78;CALM;0.0;0.0;897.11;0.0;Fair
1420084800;21.0;17.0;0.78;S;1.6666666666666665;0.0;896.23;0.0;Fair
1420088400;20.0;16.0;0.78;CALM;0.0;0.0;896.23;0.0;Fair
1420092000;20.0;16.0;0.78;CALM;0.0;0.0;896.23;0.0;Fair
1420095600;20.0;16.0;0.78;CALM;0.0;0.0;897.11;0.0;Fair
1420099200;20.0;17.0;0.83;CALM;0.0;0.0;897.11;0.0;Fair
1420102800;21.0;18.0;0.83;CALM;0.0;0.0;897.99;0.0;Fair
1420106400;24.0;18.0;0.69;WNW;1.1111111111111112;0.0;897.99;0.0;Fair
1420110000;27.0;17.0;0.54;NNE;1.9444444444444444;0.0;897.99;0.0;Fair
1420113600;29.0;16.0;0.45;NE;3.0555555555555554;0.0;897.99;0.0;Partly Cloudy
1420117200;30.0;15.0;0.4;NE;6.111111111111111;0.0;897.99;0.0;Mostly Cloudy
1420120800;30.0;14.0;0.37;NNE;3.611111111111111;0.0;897.11;0.0;Mostly Cloudy
1420124400;30.0;14.0;0.37;ENE;3.611111111111111;0.0;897.11;0.0;Mostly Cloudy
1420128000;31.0;15.0;0.38;NE;3.611111111111111;0.0;896.23;0.0;Mostly Cloudy
1420131600;31.0;14.0;0.35;ENE;5.277777777777778;0.0;895.35;0.0;Mostly Cloudy
1420135200;31.0;13.0;0.33;NNE;2.5;0.0;894.47;0.0;Partly Cloudy
1420138800;31.0;12.0;0.31;E;4.166666666666667;0.0;894.47;0.0;Partly Cloudy
1420142400;31.0;10.0;0.27;ESE;4.166666666666667;0.0;894.47;0.0;Partly Cloudy
1420146000;29.0;10.0;0.3;ENE;2.5;0.0;895.35;0.0;Partly Cloudy
1420149600;27.0;13.0;0.42;E;2.5;0.0;896.23;0.0;Partly Cloudy
1420153200;26.0;15.0;0.51;ESE;3.0555555555555554;0.0;896.23;0.0;Thunder in the Vicinity
1420156800;25.0;14.0;0.5;WSW;1.9444444444444444;0.0;897.11;0.0;Fair
1420246800;23.0;15.0;0.61;NW;1.9444444444444444;0.0;897.11;0.0;Fair
1420164000;24.0;15.0;0.57;SSW;1.9444444444444444;0.0;897.11;0.0;Fair
1420167600;22.0;15.0;0.64;CALM;0.0;0.0;896.23;0.0;Fair
1420171200;22.0;15.0;0.64;CALM;0.0;0.0;896.23;0.0;Fair
1420174800;21.0;15.0;0.68;CALM;0.0;0.0;895.35;0.0;Fair
1420178400;20.0;15.0;0.73;CALM;0.0;0.0;895.35;0.0;Fair
1420182000;20.0;15.0;0.73;CALM;0.0;0.0;896.23;0.0;Fair
1420185600;21.0;15.0;0.68;CALM;0.0;0.0;897.11;0.0;Fair
1420189200;23.0;17.0;0.69;CALM;0.0;0.0;897.11;0.0;Fair
1420192800;25.0;18.0;0.65;CALM;0.0;0.0;897.99;0.0;Fair
1420196400;28.0;17.0;0.51;SW;1.1111111111111112;0.0;897.99;0.0;Fair
1420200000;30.0;17.0;0.45;SW;1.1111111111111112;0.0;897.99;0.0;Partly Cloudy
1420203600;31.0;15.0;0.38;NW;1.6666666666666665;0.0;897.99;0.0;Mostly Cloudy
1420207200;32.0;18.0;0.43;S;3.611111111111111;0.0;897.11;0.0;Mostly Cloudy
1420210800;30.0;17.0;0.45;S;4.166666666666667;0.0;897.11;0.0;Mostly Cloudy
1420214400;27.0;18.0;0.58;NW;6.111111111111111;0.0;896.23;0.0;Showers in the Vicinity
1420214820;26.0;17.0;0.57;WNW;5.277777777777778;0.0;896.23;0.0;Thunder
1420218000;24.0;18.0;0.69;WNW;3.611111111111111;0.0;896.23;0.0;Thunder
