Time;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Precip.;Condition
1420160400;26.0;18.0;0.61;ENE;3.611111111111111;0.0;926.71;0.0;Fair
1420077600;25.0;19.0;0.69;E;2.5;0.0;926.71;0.0;Fair
1420081200;25.0;19.0;0.69;E;2.5;0.0;925.8;0.0;Fair
1420084800;24.0;18.0;0.69;E;4.166666666666667;0.0;925.8;0.0;Fair
1420088400;24.0;18.0;0.69;E;3.611111111111111;0.0;924.89;0.0;Fair
1420092000;23.0;18.0;0.73;E;2.5;0.0;925.8;0.0;Fair
1420095600;22.0;18.0;0.78;E;1.6666666666666665;0.0;925.8;0.0;Fair
1420099200;23.0;18.0;0.73;E;3.0555555555555554;0.0;926.71;0.0;Fair
1420102800;25.0;18.0;0.65;E;3.0555555555555554;0.0;926.71;0.0;Fair
1420106400;26.0;18.0;0.61;E;2.5;0.0;926.71;0.0;Fair
1420110000;28.0;18.0;0.54;N;2.5;0.0;926.71;0.0;Fair
1420113600;30.0;18.0;0.48;N;1.9444444444444444;0.0;926.71;0.0;Fair
1420117200;31.0;18.0;0.46;NW;2.5;0.0;925.8;0.0;Fair
1420120800;31.0;17.0;0.43;WSW;3.611111111111111;0.0;925.8;0.0;Partly Cloudy
1420124400;33.0;16.0;0.36;W;3.0555555555555554;0.0;924.89;0.0;Partly Cloudy
1420128000;32.0;16.0;0.38;W;3.611111111111111;0.0;923.98;0.0;Partly Cloudy
1420131600;32.0;17.0;0.4;WSW;3.611111111111111;0.0;923.07;0.0;Mostly Cloudy
1420133220;27.0;20.0;0.65;NW;1.9444444444444444;0.0;923.07;0.0;Light Rain with Thunder
1420135200;26.0;21.0;0.74;NNE;2.5;0.0;0.0;0.0;Light Rain with Thunder
1420138800;22.0;19.0;0.83;E;6.111111111111111;0.0;923.98;0.0;Light Rain with Thunder
1420142400;22.0;19.0;0.83;N;2.5;0.0;924.89;0.0;Light Rain
