Time;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Precip.;Condition
1420077600;25.0;23.0;0.89;E;2.5;0.0;1011.08;0.0;Partly Cloudy
1420081200;25.0;23.0;0.89;ESE;1.9444444444444444;0.0;1010.08;0.0;Partly Cloudy
1420084800;25.0;23.0;0.89;ENE;1.1111111111111112;0.0;1009.08;0.0;Fair
1420088400;25.0;23.0;0.89;E;1.6666666666666665;0.0;1009.08;0.0;Fair
1420092000;24.0;23.0;0.94;CALM;0.0;0.0;1009.08;0.0;Fair
1420095600;24.0;23.0;0.94;ENE;1.6666666666666665;0.0;1009.08;0.0;Fair
1420099200;24.0;23.0;0.94;E;1.1111111111111112;0.0;1010.08;0.0;Fair
1420102800;25.0;23.0;0.89;ESE;1.6666666666666665;0.0;1011.08;0.0;Mostly Cloudy
1420106400;25.0;23.0;0.89;ESE;1.9444444444444444;0.0;1011.08;0.0;Mostly Cloudy
1420110000;27.0;24.0;0.84;E;1.9444444444444444;0.0;1012.08;0.0;Mostly Cloudy
1420113600;28.0;24.0;0.79;ENE;4.166666666666667;0.0;1012.08;0.0;Mostly Cloudy
1420117200;29.0;23.0;0.7;NE;3.611111111111111;0.0;1012.08;0.0;Mostly Cloudy
1420120800;31.0;22.0;0.58;E;4.722222222222222;0.0;1011.08;0.0;Partly Cloudy
1420124400;29.0;24.0;0.74;N;5.555555555555555;0.0;1010.08;0.0;Mostly Cloudy
1420125300;28.0;23.0;0.74;N;6.111111111111111;0.0;1009.08;0.0;Heavy Rain
1420128000;28.0;22.0;0.7;NNE;2.5;0.0;1009.08;0.0;Light Rain
1420131600;0.0;0.0;0.0;E;4.722222222222222;0.0;1009.08;0.0;Light Rain with Thunder
1420135200;28.0;24.0;0.79;N;1.9444444444444444;0.0;1008.08;0.0;Mostly Cloudy
1420138800;28.0;25.0;0.84;NNE;1.9444444444444444;0.0;1008.08;0.0;Mostly Cloudy
1420142400;0.0;0.0;0.0;NE;4.166666666666667;0.0;1008.08;0.0;Thunder
1420146000;25.0;23.0;0.89;E;1.6666666666666665;0.0;1009.08;0.0;Thunder
1420149600;26.0;23.0;0.83;NNE;1.9444444444444444;0.0;1010.08;0.0;Mostly Cloudy
1420153200;26.0;23.0;0.83;ENE;3.0555555555555554;0.0;1011.08;0.0;Mostly Cloudy
1420156800;25.0;23.0;0.89;ENE;3.0555555555555554;0.0;1011.08;0.0;Partly Cloudy
1420160400;25.0;23.0;0.89;ENE;2.5;0.0;1010.08;0.0;Fair
