Time;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Precip.;Condition
1420092900;26.0;23.0;0.83;N;2.5;0.0;1008.64;0.0;Fair
1420095600;26.0;23.0;0.83;NNE;3.0555555555555554;0.0;1009.64;0.0;Fair
1420099200;27.0;23.0;0.79;N;3.611111111111111;0.0;1009.64;0.0;Fair
1420102800;28.0;23.0;0.74;N;3.0555555555555554;0.0;1009.64;0.0;Fair
1420106400;29.0;22.0;0.66;N;3.0555555555555554;0.0;1009.64;0.0;Fair
1420110000;30.0;24.0;0.7;N;3.0555555555555554;0.0;1010.64;0.0;Fair
1420113600;32.0;24.0;0.62;NNE;2.5;0.0;1009.64;0.0;Fair
1420117200;33.0;25.0;0.63;NNE;1.9444444444444444;0.0;1009.64;0.0;Fair
1420120800;32.0;25.0;0.66;SSE;4.722222222222222;0.0;1008.64;0.0;Fair
1420124400;31.0;25.0;0.7;SSE;5.555555555555555;0.0;1007.64;0.0;Fair
1420128000;31.0;24.0;0.66;SSE;7.777777777777778;0.0;1007.64;0.0;Fair
1420131600;32.0;24.0;0.62;SSE;7.222222222222222;0.0;1006.64;0.0;Fair
1420135200;32.0;22.0;0.55;SSE;6.666666666666666;0.0;1006.64;0.0;Fair
1420138800;32.0;21.0;0.52;S;6.666666666666666;0.0;1006.64;0.0;Fair
1420142400;31.0;22.0;0.58;S;5.555555555555555;0.0;1007.64;0.0;Fair
1420146000;33.0;19.0;0.43;SSW;3.0555555555555554;0.0;1008.64;0.0;Partly Cloudy
1420149600;30.0;24.0;0.7;SE;1.6666666666666665;0.0;1008.64;0.0;Partly Cloudy
1420153200;29.0;24.0;0.74;SSE;4.166666666666667;0.0;1008.64;0.0;Fair
1420156800;29.0;24.0;0.74;N;3.0555555555555554;0.0;1010.64;0.0;Fair
1420179300;27.0;24.0;0.84;NNW;3.0555555555555554;0.0;1007.64;0.0;Fair
1420182000;27.0;24.0;0.84;N;3.611111111111111;0.0;1007.64;0.0;Fair
1420185600;28.0;24.0;0.79;N;2.5;0.0;1008.64;0.0;Fair
1420189200;30.0;25.0;0.74;N;3.611111111111111;0.0;1008.64;0.0;Fair
1420192800;31.0;25.0;0.7;N;2.5;0.0;1009.64;0.0;Fair
1420196400;32.0;25.0;0.66;N;2.5;0.0;1010.64;0.0;Fair
1420200000;33.0;26.0;0.66;ESE;1.1111111111111112;0.0;1009.64;0.0;Fair
1420203600;33.0;25.0;0.63;SSE;4.166666666666667;0.0;1009.64;0.0;Fair
1420207200;34.0;24.0;0.56;SSE;4.166666666666667;0.0;1008.64;0.0;Fair
1420210800;31.0;26.0;0.75;SSE;6.111111111111111;0.0;1008.64;0.0;Partly Cloudy
1420214400;31.0;26.0;0.75;SE;6.111111111111111;0.0;1007.64;0.0;Fair
1420218000;31.0;24.0;0.66;SSE;7.777777777777778;0.0;1007.64;0.0;Partly Cloudy
1420221600;30.0;24.0;0.7;SSE;6.111111111111111;0.0;1008.64;0.0;Fair
1420225200;30.0;25.0;0.74;SSE;3.0555555555555554;0.0;1007.64;0.0;Fair
1420228800;30.0;24.0;0.7;S;2.5;0.0;1007.64;0.0;Fair
1420232400;29.0;25.0;0.79;SE;1.1111111111111112;0.0;1008.64;0.0;Partly Cloudy
1420236000;32.0;25.0;0.66;NNW;3.0555555555555554;0.0;1009.64;0.0;Fair
1420239600;31.0;25.0;0.7;NW;1.9444444444444444;0.0;1010.64;0.0;Fair
1420243200;30.0;25.0;0.74;N;1.9444444444444444;0.0;1011.64;0.0;Mostly Cloudy
1420267500;28.0;23.0;0.74;SSW;1.6666666666666665;0.0;1010.64;0.0;Fair
1420268400;28.0;23.0;0.74;SSW;3.0555555555555554;0.0;1010.64;0.0;Fair
1420272000;28.0;22.0;0.7;SSW;5.277777777777778;0.0;1012.64;0.0;Partly Cloudy
1420275600;30.0;22.0;0.62;S;4.166666666666667;0.0;1013.64;0.0;Partly Cloudy
1420279200;31.0;24.0;0.66;SE;2.5;0.0;1013.64;0.0;Partly Cloudy
1420282800;31.0;24.0;0.66;SE;1.9444444444444444;0.0;1014.64;0.0;Partly Cloudy
1420286400;33.0;24.0;0.59;S;4.166666666666667;0.0;1013.64;0.0;Partly Cloudy
1420290000;32.0;24.0;0.62;SSE;5.277777777777778;0.0;1013.64;0.0;Partly Cloudy
1420293600;33.0;24.0;0.59;SSE;5.555555555555555;0.0;1013.64;0.0;Fair
1420297200;32.0;25.0;0.66;SSE;6.111111111111111;0.0;1012.64;0.0;Fair
1420300800;32.0;24.0;0.62;SSE;6.666666666666666;0.0;1012.64;0.0;Fair
1420304400;32.0;25.0;0.66;S;6.666666666666666;0.0;1012.64;0.0;Partly Cloudy
1420308000;30.0;25.0;0.74;SSE;8.333333333333334;0.0;1012.64;0.0;Partly Cloudy
1420311600;29.0;25.0;0.79;SSE;6.666666666666666;0.0;1012.64;0.0;Mostly Cloudy
1420315200;28.0;24.0;0.79;SSE;7.222222222222222;0.0;1012.64;0.0;Mostly Cloudy
1420318800;27.0;24.0;0.84;SSE;6.111111111111111;0.0;1013.64;0.0;Mostly Cloudy
1420322400;27.0;24.0;0.84;SSE;4.722222222222222;0.0;1014.64;0.0;Mostly Cloudy
1420326000;27.0;24.0;0.84;S;3.0555555555555554;0.0;1014.64;0.0;Mostly Cloudy
1420329600;27.0;24.0;0.84;S;3.0555555555555554;0.0;1014.64;0.0;Mostly Cloudy
1420353600;26.0;24.0;0.89;SSE;1.6666666666666665;0.0;1013.64;0.0;Partly Cloudy
1420354800;26.0;24.0;0.89;ESE;1.1111111111111112;0.0;1013.64;0.0;Partly Cloudy
1420358400;26.0;24.0;0.89;ESE;0.5555555555555556;0.0;1013.64;0.0;Partly Cloudy
1420362000;27.0;24.0;0.84;N;1.6666666666666665;0.0;1014.64;0.0;Mostly Cloudy
1420365600;29.0;25.0;0.79;NNE;1.1111111111111112;0.0;1014.64;0.0;Partly Cloudy
1420369200;29.0;25.0;0.79;SSE;1.9444444444444444;0.0;1014.64;0.0;Mostly Cloudy
1420372800;31.0;25.0;0.7;SSE;3.0555555555555554;0.0;1014.64;0.0;Fair
1420376400;31.0;25.0;0.7;SSE;4.166666666666667;0.0;1014.64;0.0;Fair
1420380000;31.0;25.0;0.7;SSE;4.722222222222222;0.0;1013.64;0.0;Fair
1420383600;31.0;25.0;0.7;SSE;6.666666666666666;0.0;1013.64;0.0;Fair
1420387200;32.0;25.0;0.66;S;7.777777777777778;0.0;1011.64;0.0;Fair
1420390800;28.0;24.0;0.79;SSE;7.222222222222222;0.0;1012.64;0.0;Partly Cloudy
1420393500;28.0;24.0;0.79;SSE;7.222222222222222;0.0;1013.64;0.0;Thunder
1420394400;28.0;24.0;0.79;SSE;5.277777777777778;0.0;1013.64;0.0;Thunder
1420398000;25.0;23.0;0.89;N;5.277777777777778;0.0;0.0;0.0;Light Rain
1420401600;25.0;23.0;0.89;NW;3.0555555555555554;0.0;1014.64;0.0;Light Rain
1420405200;26.0;23.0;0.83;WNW;1.1111111111111112;0.0;1014.64;0.0;Mostly Cloudy
1420408800;26.0;23.0;0.83;NNE;1.6666666666666665;0.0;1014.64;0.0;Mostly Cloudy
1420410300;26.0;23.0;0.83;ESE;1.9444444444444444;0.0;1013.64;0.0;Mostly Cloudy
1420412400;26.0;23.0;0.83;ESE;2.5;0.0;1014.64;0.0;Mostly Cloudy
1420413000;26.0;23.0;0.83;NE;0.5555555555555556;0.0;1015.64;0.0;Fog
1420416000;25.0;23.0;0.89;N;2.5;0.0;0.0;0.0;Light Rain
1420438500;25.0;23.0;0.89;N;1.6666666666666665;0.0;1013.64;0.0;Mostly Cloudy
1420441200;25.0;24.0;0.94;NE;2.5;0.0;1013.64;0.0;Mostly Cloudy
1420444800;25.0;24.0;0.94;NNW;2.5;0.0;1014.64;0.0;Mostly Cloudy
1420448400;26.0;24.0;0.89;NNE;1.6666666666666665;0.0;1014.64;0.0;Mostly Cloudy
1420452000;27.0;24.0;0.84;N;1.9444444444444444;0.0;1015.64;0.0;Mostly Cloudy
1420455600;28.0;24.0;0.79;NNE;1.9444444444444444;0.0;1015.64;0.0;Haze
1420459200;30.0;24.0;0.7;SE;1.9444444444444444;0.0;1015.64;0.0;Haze
1420462800;30.0;24.0;0.7;SE;3.611111111111111;0.0;1015.64;0.0;Mostly Cloudy
1420466400;30.0;24.0;0.7;SSE;3.611111111111111;0.0;1015.64;0.0;Mostly Cloudy
1420470000;29.0;24.0;0.74;SSE;4.722222222222222;0.0;1015.64;0.0;Partly Cloudy
1420473600;30.0;24.0;0.7;SSE;5.277777777777778;0.0;1014.64;0.0;Partly Cloudy
1420477200;30.0;25.0;0.74;SSE;6.666666666666666;0.0;0.0;0.0;Thunder in the Vicinity
1420480800;28.0;24.0;0.79;SSE;6.111111111111111;0.0;0.0;0.0;Thunder in the Vicinity
1420484400;27.0;24.0;0.84;SSE;3.611111111111111;0.0;1014.64;0.0;T-Storm
1420486800;24.0;22.0;0.89;NNE;7.777777777777778;0.0;1015.64;0.0;T-Storm
1420488000;24.0;22.0;0.89;NNE;6.111111111111111;0.0;1015.64;0.0;T-Storm
1420491600;23.0;22.0;0.94;N;4.722222222222222;0.0;1016.64;0.0;T-Storm
1420495200;0.0;0.0;0.0;NW;1.9444444444444444;0.0;1016.64;0.0;Light Rain
1420498800;24.0;22.0;0.89;ENE;1.1111111111111112;0.0;1017.64;0.0;Light Rain
1420502400;24.0;22.0;0.89;S;0.5555555555555556;0.0;1017.64;0.0;Light Rain
1420524900;24.0;22.0;0.89;CALM;0.0;0.0;1015.64;0.0;Mostly Cloudy
1420527600;24.0;22.0;0.89;CALM;0.0;0.0;1015.64;0.0;Mostly Cloudy
1420531200;25.0;23.0;0.89;E;1.1111111111111112;0.0;1016.64;0.0;Mostly Cloudy
1420534800;25.0;23.0;0.89;ENE;1.1111111111111112;0.0;1016.64;0.0;Mostly Cloudy
1420538400;26.0;22.0;0.78;NE;1.1111111111111112;0.0;1017.64;0.0;Mostly Cloudy
1420542000;26.0;23.0;0.83;NE;1.6666666666666665;0.0;1017.64;0.0;Mostly Cloudy
1420545600;27.0;23.0;0.79;NE;1.6666666666666665;0.0;1017.64;0.0;Mostly Cloudy
1420549200;28.0;23.0;0.74;NNE;1.6666666666666665;0.0;1016.64;0.0;Mostly Cloudy
1420552800;29.0;23.0;0.7;E;1.1111111111111112;0.0;1016.64;0.0;Mostly Cloudy
1420556400;30.0;24.0;0.7;SSE;3.611111111111111;0.0;1015.64;0.0;Mostly Cloudy
1420560000;31.0;24.0;0.66;SSE;5.277777777777778;0.0;1015.64;0.0;Partly Cloudy
1420563600;31.0;24.0;0.66;SSE;5.555555555555555;0.0;1014.64;0.0;Fair
1420567200;30.0;24.0;0.7;SSE;6.111111111111111;0.0;1014.64;0.0;Fair
1420570800;32.0;24.0;0.62;SSE;3.0555555555555554;0.0;1013.64;0.0;Partly Cloudy
1420574400;29.0;24.0;0.74;SE;2.5;0.0;1013.64;0.0;Fair
1420578000;29.0;23.0;0.7;ENE;4.166666666666667;0.0;1014.64;0.0;Partly Cloudy
1420581600;28.0;22.0;0.7;ESE;2.5;0.0;1015.64;0.0;Fair
1420585200;28.0;22.0;0.7;E;4.166666666666667;0.0;1015.64;0.0;Fair
1420588800;28.0;22.0;0.7;E;1.9444444444444444;0.0;1015.64;0.0;Fair
1420611300;25.0;21.0;0.78;NNE;1.6666666666666665;0.0;1013.64;0.0;Fair
1420614000;25.0;21.0;0.78;NE;1.1111111111111112;0.0;1013.64;0.0;Fair
1420617600;25.0;21.0;0.78;N;1.1111111111111112;0.0;1014.64;0.0;Fair
1420621200;27.0;21.0;0.7;N;3.0555555555555554;0.0;1014.64;0.0;Fair
1420624800;28.0;21.0;0.66;NNW;1.9444444444444444;0.0;1014.64;0.0;Fair
1420628400;30.0;22.0;0.62;NNW;3.0555555555555554;0.0;1014.64;0.0;Fair
1420632000;31.0;22.0;0.58;NNW;2.5;0.0;1014.64;0.0;Fair
