Time;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Precip.;Condition
1420077600;26.0;21.0;0.74;SE;3.0555555555555554;0.0;1013.16;0.0;Partly Cloudy
1420081200;25.0;21.0;0.78;ESE;3.0555555555555554;0.0;1013.16;0.0;Partly Cloudy
1420084800;25.0;20.0;0.74;ESE;1.9444444444444444;0.0;1012.16;0.0;Partly Cloudy
1420088400;24.0;20.0;0.78;ESE;1.6666666666666665;0.0;1012.16;0.0;Fair
1420092000;24.0;20.0;0.78;SSE;1.9444444444444444;0.0;1013.16;0.0;Fair
1420095600;24.0;21.0;0.83;SSW;1.1111111111111112;0.0;1013.16;0.0;Fair
1420099200;24.0;21.0;0.83;WSW;1.9444444444444444;0.0;1014.16;0.0;Fair
1420102800;26.0;21.0;0.74;SSW;2.5;0.0;1014.16;0.0;Mostly Cloudy
1420106400;28.0;20.0;0.62;SSE;2.5;0.0;1014.16;0.0;Fair
1420110000;29.0;20.0;0.58;ESE;1.6666666666666665;0.0;1014.16;0.0;Mostly Cloudy
1420113600;30.0;19.0;0.51;ESE;1.9444444444444444;0.0;1014.16;0.0;Mostly Cloudy
1420117200;29.0;21.0;0.62;E;3.0555555555555554;0.0;1014.16;0.0;Mostly Cloudy
1420120800;27.0;20.0;0.65;ESE;6.666666666666666;0.0;1013.16;0.0;Mostly Cloudy
1420124400;30.0;21.0;0.58;SE;6.111111111111111;0.0;1012.16;0.0;Mostly Cloudy
1420128000;29.0;21.0;0.62;SE;5.555555555555555;0.0;1011.16;0.0;Mostly Cloudy
1420131600;28.0;22.0;0.7;ESE;4.722222222222222;0.0;1011.16;0.0;Mostly Cloudy
1420135200;28.0;21.0;0.66;ESE;6.111111111111111;0.0;1012.16;0.0;Mostly Cloudy
1420138800;26.0;21.0;0.74;SSE;6.666666666666666;0.0;1012.16;0.0;Mostly Cloudy
1420142400;25.0;21.0;0.78;SSE;5.277777777777778;0.0;1012.16;0.0;Mostly Cloudy
1420146000;25.0;22.0;0.83;ESE;3.0555555555555554;0.0;1013.16;0.0;Partly Cloudy
1420149600;25.0;22.0;0.83;SSE;3.0555555555555554;0.0;1013.16;0.0;Fair
1420153200;24.0;22.0;0.89;SSE;3.0555555555555554;0.0;1014.16;0.0;Fair
1420156800;25.0;22.0;0.83;S;1.9444444444444444;0.0;1014.16;0.0;Fair
1420160400;24.0;22.0;0.89;SSE;1.1111111111111112;0.0;1013.16;0.0;Fair
1420164000;24.0;22.0;0.89;S;1.9444444444444444;0.0;1012.16;0.0;Fair
1420167600;24.0;22.0;0.89;SSW;1.9444444444444444;0.0;1012.16;0.0;Mostly Cloudy
1420171200;24.0;22.0;0.89;WSW;1.9444444444444444;0.0;1011.16;0.0;Mostly Cloudy
1420174800;24.0;22.0;0.89;WSW;1.9444444444444444;0.0;1011.16;0.0;Partly Cloudy
1420178400;24.0;22.0;0.89;SW;1.9444444444444444;0.0;1012.16;0.0;Mostly Cloudy
1420182000;24.0;22.0;0.89;SSE;1.9444444444444444;0.0;1012.16;0.0;Rain
1420185600;24.0;22.0;0.89;S;2.5;0.0;1013.16;0.0;Showers in the Vicinity
1420189200;24.0;22.0;0.89;S;3.0555555555555554;0.0;1014.16;0.0;Light Rain
1420192800;23.0;21.0;0.88;ESE;3.0555555555555554;0.0;1014.16;0.0;Light Rain
1420196400;24.0;22.0;0.89;E;3.611111111111111;0.0;1014.16;0.0;Light Rain
1420200000;24.0;22.0;0.89;ENE;5.277777777777778;0.0;1014.16;0.0;Light Rain
1420201200;25.0;22.0;0.83;NNE;2.5;0.0;1014.16;0.0;Mostly Cloudy
1420203600;26.0;22.0;0.78;N;1.6666666666666665;0.0;1014.16;0.0;Mostly Cloudy
1420207200;25.0;22.0;0.83;SSE;3.0555555555555554;0.0;0.0;0.0;Light Rain with Thunder
1420210800;24.0;22.0;0.89;S;1.9444444444444444;0.0;1013.16;0.0;Light Rain
1420214400;26.0;22.0;0.78;N;3.0555555555555554;0.0;1012.16;0.0;Mostly Cloudy
1420218000;26.0;22.0;0.78;NE;4.166666666666667;0.0;1012.16;0.0;Mostly Cloudy
1420221600;25.0;22.0;0.83;ENE;3.0555555555555554;0.0;1012.16;0.0;Mostly Cloudy
1420225200;24.0;22.0;0.89;NNE;1.9444444444444444;0.0;1013.16;0.0;Mostly Cloudy
1420228800;24.0;22.0;0.89;N;1.9444444444444444;0.0;1013.16;0.0;Mostly Cloudy
1420229940;24.0;22.0;0.89;NNE;2.5;0.0;1013.16;0.0;Light Rain
1420232400;24.0;22.0;0.89;NNE;1.6666666666666665;0.0;1013.16;0.0;Light Rain
1420236000;23.0;22.0;0.94;NNE;1.6666666666666665;0.0;0.0;0.0;Mostly Cloudy
1420239600;23.0;22.0;0.94;WNW;1.6666666666666665;0.0;1014.16;0.0;Mostly Cloudy
1420243200;23.0;22.0;0.94;WSW;1.9444444444444444;0.0;1014.16;0.0;Mostly Cloudy
1420246800;23.0;21.0;0.88;WSW;1.1111111111111112;0.0;1013.16;0.0;Partly Cloudy
1420250400;23.0;21.0;0.88;WSW;0.5555555555555556;0.0;1013.16;0.0;Fair
1420254000;22.0;21.0;0.94;WSW;1.1111111111111112;0.0;1012.16;0.0;Fair
1420255800;22.0;21.0;0.94;W;1.9444444444444444;0.0;1012.16;0.0;Fog
1420257600;22.0;20.0;0.88;WSW;2.5;0.0;1011.16;0.0;Fog
1420259400;22.0;20.0;0.88;WSW;1.9444444444444444;0.0;1011.16;0.0;Fog
1420261200;22.0;20.0;0.88;WSW;1.9444444444444444;0.0;1011.16;0.0;Fair
1420264800;22.0;20.0;0.88;CALM;0.0;0.0;1011.16;0.0;Fair
1420267500;21.0;20.0;0.94;SSW;1.1111111111111112;0.0;1012.16;0.0;Fog
1420268400;21.0;20.0;0.94;SSW;1.1111111111111112;0.0;1012.16;0.0;Fog
1420270500;21.0;20.0;0.94;SSW;1.6666666666666665;0.0;1012.16;0.0;Partly Cloudy
1420272000;22.0;20.0;0.88;SW;1.6666666666666665;0.0;1013.16;0.0;Fair
1420275600;24.0;22.0;0.89;SSW;1.9444444444444444;0.0;1013.16;0.0;Fair
1420279200;27.0;22.0;0.74;SSE;5.277777777777778;0.0;1013.16;0.0;Fair
1420282800;29.0;21.0;0.62;SE;5.277777777777778;0.0;1014.16;0.0;Partly Cloudy
1420286400;29.0;19.0;0.55;SE;5.277777777777778;0.0;1013.16;0.0;Partly Cloudy
1420290000;29.0;20.0;0.58;ESE;5.277777777777778;0.0;1013.16;0.0;Partly Cloudy
1420293600;30.0;20.0;0.55;ESE;5.277777777777778;0.0;1012.16;0.0;Partly Cloudy
1420297200;30.0;20.0;0.55;ESE;5.555555555555555;0.0;1012.16;0.0;Partly Cloudy
1420300800;30.0;19.0;0.51;ESE;6.666666666666666;0.0;1011.16;0.0;Fair
1420304400;29.0;20.0;0.58;ESE;6.666666666666666;0.0;1011.16;0.0;Fair
1420308000;28.0;19.0;0.58;ESE;6.666666666666666;0.0;1011.16;0.0;Fair
1420311600;27.0;20.0;0.65;ESE;5.277777777777778;0.0;1011.16;0.0;Fair
1420315200;26.0;20.0;0.69;ESE;4.166666666666667;0.0;1012.16;0.0;Fair
1420318800;26.0;20.0;0.69;E;3.0555555555555554;0.0;1013.16;0.0;Fair
