Time;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Precip.;Condition
1420160400;27.0;23.0;0.79;WNW;1.6666666666666665;0.0;1004.64;0.0;Fair
1420077600;27.0;23.0;0.79;N;2.5;0.0;1003.64;0.0;Fair
1420081200;27.0;23.0;0.79;N;4.722222222222222;0.0;1002.64;0.0;Fair
1420084800;27.0;22.0;0.74;NW;3.0555555555555554;0.0;1002.64;0.0;Fair
1420088400;27.0;22.0;0.74;NNW;3.0555555555555554;0.0;1002.64;0.0;Fair
1420092000;26.0;22.0;0.78;NW;1.9444444444444444;0.0;1002.64;0.0;Fair
1420095600;26.0;22.0;0.78;NW;1.9444444444444444;0.0;1003.64;0.0;Fair
1420099200;25.0;22.0;0.83;VAR;0.5555555555555556;0.0;1003.64;0.0;Fair
1420102800;25.0;22.0;0.83;S;1.1111111111111112;0.0;1004.64;0.0;Fair
1420106400;23.0;21.0;0.88;NNW;1.9444444444444444;0.0;1004.64;0.0;Fair
1420110000;27.0;21.0;0.7;WNW;3.0555555555555554;0.0;1004.64;0.0;Fair
1420113600;27.0;22.0;0.74;NW;2.5;0.0;1005.64;0.0;Fair
1420117200;27.0;22.0;0.74;NW;5.277777777777778;0.0;1005.64;0.0;Partly Cloudy
1420120800;25.0;21.0;0.78;W;6.111111111111111;0.0;1006.64;0.0;Light Rain
1420124400;24.0;22.0;0.89;WNW;1.9444444444444444;0.0;1005.64;0.0;Light Rain
1420128000;26.0;22.0;0.78;W;1.9444444444444444;0.0;1004.64;0.0;Mostly Cloudy
1420131600;28.0;20.0;0.62;NNW;7.777777777777778;0.0;1003.64;0.0;Mostly Cloudy
1420135200;28.0;21.0;0.66;NW;5.277777777777778;0.0;1002.64;0.0;Mostly Cloudy
1420138800;28.0;19.0;0.58;WNW;7.777777777777778;0.0;1002.64;0.0;Fair
1420142400;25.0;21.0;0.78;WNW;3.611111111111111;0.0;1003.64;0.0;Mostly Cloudy
1420146000;25.0;21.0;0.78;WSW;3.0555555555555554;0.0;1003.64;0.0;Mostly Cloudy
1420149600;24.0;22.0;0.89;SSW;1.9444444444444444;0.0;0.0;0.0;Rain
1420150320;22.0;21.0;0.94;WSW;4.166666666666667;0.0;1004.64;0.0;Rain
1420153200;23.0;22.0;0.94;S;1.6666666666666665;0.0;1004.64;0.0;T-Storm
1420156800;0.0;0.0;0.0;WSW;6.111111111111111;0.0;1007.64;0.0;T-Storm
1420246800;22.0;21.0;0.94;NNE;4.166666666666667;0.0;1003.64;0.0;Light Rain
1420248840;21.0;20.0;0.94;NE;7.777777777777778;0.0;1002.64;0.0;Cloudy
1420164000;22.0;21.0;0.94;SW;3.611111111111111;0.0;1004.64;0.0;Cloudy
1420167600;21.0;21.0;1.0;NW;3.611111111111111;0.0;1004.64;0.0;Cloudy
1420171200;21.0;20.0;0.94;WSW;4.166666666666667;0.0;1004.64;0.0;Partly Cloudy
1420174800;21.0;20.0;0.94;WSW;5.277777777777778;0.0;1005.64;0.0;Partly Cloudy
1420178400;21.0;20.0;0.94;W;3.611111111111111;0.0;1006.64;0.0;Fair
1420182000;20.0;19.0;0.94;W;3.0555555555555554;0.0;1007.64;0.0;Fair
1420185600;21.0;20.0;0.94;WNW;3.0555555555555554;0.0;1008.64;0.0;Mostly Cloudy
1420186680;21.0;20.0;0.94;WNW;3.0555555555555554;0.0;1008.64;0.0;Cloudy
1420189200;21.0;20.0;0.94;WNW;3.611111111111111;0.0;1009.64;0.0;Cloudy
1420192800;22.0;21.0;0.94;W;5.277777777777778;0.0;1010.64;0.0;Cloudy
1420196400;21.0;20.0;0.94;WSW;3.611111111111111;0.0;1011.64;0.0;Light Rain
1420200000;23.0;14.0;0.57;SSW;3.611111111111111;0.0;1011.64;0.0;Mostly Cloudy
1420203600;23.0;15.0;0.61;SSW;3.611111111111111;0.0;1011.64;0.0;Partly Cloudy
1420207200;24.0;15.0;0.57;SSW;3.0555555555555554;0.0;1011.64;0.0;Partly Cloudy
1420210800;24.0;14.0;0.53;WNW;3.611111111111111;0.0;1012.64;0.0;Mostly Cloudy
1420214400;24.0;16.0;0.61;W;3.0555555555555554;0.0;1011.64;0.0;Partly Cloudy
1420218000;25.0;16.0;0.57;W;2.5;0.0;1011.64;0.0;Mostly Cloudy
1420221600;25.0;17.0;0.61;W;2.5;0.0;1011.64;0.0;Mostly Cloudy
1420225200;25.0;17.0;0.61;NW;2.5;0.0;1011.64;0.0;Mostly Cloudy
1420228800;26.0;17.0;0.57;WSW;1.9444444444444444;0.0;1011.64;0.0;Mostly Cloudy
1420232400;24.0;16.0;0.61;SE;4.166666666666667;0.0;1012.64;0.0;Partly Cloudy
1420236000;24.0;16.0;0.61;SSE;3.611111111111111;0.0;1013.64;0.0;Partly Cloudy
1420239600;22.0;17.0;0.73;E;3.0555555555555554;0.0;1013.64;0.0;Partly Cloudy
1420243200;21.0;18.0;0.83;ENE;1.9444444444444444;0.0;1014.64;0.0;Partly Cloudy
1420333200;21.0;18.0;0.83;E;1.6666666666666665;0.0;1015.64;0.0;Partly Cloudy
1420250400;22.0;18.0;0.78;NE;1.9444444444444444;0.0;1015.64;0.0;Partly Cloudy
1420254000;21.0;17.0;0.78;ENE;1.9444444444444444;0.0;1014.64;0.0;Partly Cloudy
1420257600;19.0;18.0;0.94;ENE;2.5;0.0;1014.64;0.0;Partly Cloudy
1420261200;20.0;17.0;0.83;E;1.9444444444444444;0.0;1014.64;0.0;Partly Cloudy
1420264800;20.0;17.0;0.83;E;1.6666666666666665;0.0;1014.64;0.0;Partly Cloudy
1420268400;19.0;17.0;0.88;SE;1.1111111111111112;0.0;1014.64;0.0;Partly Cloudy
1420272000;19.0;18.0;0.94;SE;1.1111111111111112;0.0;1015.64;0.0;Partly Cloudy
1420275600;22.0;17.0;0.73;NE;1.1111111111111112;0.0;1016.64;0.0;Fair
1420279200;24.0;17.0;0.65;ESE;3.0555555555555554;0.0;1016.64;0.0;Fair
1420282800;25.0;16.0;0.57;E;2.5;0.0;1016.64;0.0;Fair
1420286400;26.0;17.0;0.57;SE;1.6666666666666665;0.0;1016.64;0.0;Partly Cloudy
1420290000;25.0;16.0;0.57;E;1.9444444444444444;0.0;1016.64;0.0;Partly Cloudy
1420293600;26.0;16.0;0.54;ENE;1.6666666666666665;0.0;1016.64;0.0;Partly Cloudy
1420297200;27.0;16.0;0.51;SW;1.9444444444444444;0.0;1015.64;0.0;Mostly Cloudy
1420300800;28.0;18.0;0.54;VAR;2.5;0.0;1014.64;0.0;Mostly Cloudy
1420304400;28.0;18.0;0.54;W;4.166666666666667;0.0;1013.64;0.0;Mostly Cloudy
1420308000;28.0;18.0;0.54;W;3.0555555555555554;0.0;1013.64;0.0;Partly Cloudy
1420311600;29.0;17.0;0.48;SSW;3.0555555555555554;0.0;1012.64;0.0;Fair
1420315200;27.0;18.0;0.58;E;4.722222222222222;0.0;1012.64;0.0;Fair
1420318800;25.0;18.0;0.65;ESE;5.555555555555555;0.0;1013.64;0.0;Fair
1420322400;24.0;17.0;0.65;ESE;6.666666666666666;0.0;1013.64;0.0;Fair
1420326000;23.0;17.0;0.69;ESE;6.666666666666666;0.0;1014.64;0.0;Fair
1420329600;22.0;18.0;0.78;ESE;4.722222222222222;0.0;1014.64;0.0;Fair
1420419600;21.0;18.0;0.83;E;4.722222222222222;0.0;1014.64;0.0;Fair
1420336800;21.0;18.0;0.83;E;3.611111111111111;0.0;1014.64;0.0;Fair
1420340400;20.0;18.0;0.88;ENE;1.6666666666666665;0.0;1014.64;0.0;Fair
1420344000;19.0;18.0;0.94;WSW;1.1111111111111112;0.0;1013.64;0.0;Fair
1420347600;19.0;18.0;0.94;SW;1.1111111111111112;0.0;1013.64;0.0;Fair
1420351200;18.0;17.0;0.94;S;0.5555555555555556;0.0;1013.64;0.0;Fair
1420354800;18.0;17.0;0.94;CALM;0.0;0.0;1014.64;0.0;Fair
1420358400;18.0;18.0;1.0;WSW;0.5555555555555556;0.0;1014.64;0.0;Fair
1420362000;21.0;19.0;0.88;NW;1.1111111111111112;0.0;1015.64;0.0;Fair
1420365600;23.0;19.0;0.78;NW;1.9444444444444444;0.0;1015.64;0.0;Fair
1420369200;25.0;20.0;0.74;NW;1.9444444444444444;0.0;1016.64;0.0;Fair
1420372800;26.0;19.0;0.65;NW;1.9444444444444444;0.0;1016.64;0.0;Fair
1420376400;28.0;19.0;0.58;W;1.9444444444444444;0.0;1016.64;0.0;Fair
1420380000;29.0;17.0;0.48;S;1.6666666666666665;0.0;1015.64;0.0;Fair
1420383600;29.0;16.0;0.45;W;4.166666666666667;0.0;1015.64;0.0;Fair
1420387200;31.0;12.0;0.31;VAR;2.5;0.0;1015.64;0.0;Fair
1420390800;31.0;14.0;0.35;S;1.9444444444444444;0.0;1014.64;0.0;Fair
1420394400;32.0;13.0;0.31;SW;1.6666666666666665;0.0;1013.64;0.0;Fair
1420398000;30.0;14.0;0.37;SSE;5.277777777777778;0.0;1013.64;0.0;Fair
1420401600;29.0;14.0;0.4;SE;5.555555555555555;0.0;1013.64;0.0;Fair
1420405200;27.0;9.0;0.32;SE;6.111111111111111;0.0;1013.64;0.0;Fair
1420408800;26.0;12.0;0.42;ESE;4.166666666666667;0.0;1014.64;0.0;Fair
1420412400;25.0;18.0;0.65;ESE;5.277777777777778;0.0;1014.64;0.0;Fair
1420416000;23.0;19.0;0.78;E;6.111111111111111;0.0;1015.64;0.0;Fair
1420506000;23.0;19.0;0.78;E;5.277777777777778;0.0;1015.64;0.0;Fair
1420423200;23.0;19.0;0.78;E;5.277777777777778;0.0;1015.64;0.0;Fair
1420426800;22.0;19.0;0.83;E;4.166666666666667;0.0;1014.64;0.0;Fair
1420430400;21.0;19.0;0.88;ESE;3.0555555555555554;0.0;1014.64;0.0;Fair
1420434000;21.0;19.0;0.88;ESE;2.5;0.0;1014.64;0.0;Fair
1420437600;20.0;19.0;0.94;E;1.6666666666666665;0.0;1014.64;0.0;Fair
1420441200;19.0;18.0;0.94;E;1.6666666666666665;0.0;1014.64;0.0;Fair
1420444800;19.0;19.0;1.0;SE;1.9444444444444444;0.0;1015.64;0.0;Fair
1420448400;21.0;20.0;0.94;ENE;1.9444444444444444;0.0;1015.64;0.0;Fair
1420452000;23.0;20.0;0.83;ENE;1.9444444444444444;0.0;1015.64;0.0;Fair
1420455600;25.0;19.0;0.69;NE;1.9444444444444444;0.0;1015.64;0.0;Fair
1420459200;28.0;18.0;0.54;E;1.9444444444444444;0.0;1015.64;0.0;Fair
1420462800;29.0;16.0;0.45;ENE;3.0555555555555554;0.0;1015.64;0.0;Fair
1420466400;30.0;13.0;0.35;ESE;2.5;0.0;1014.64;0.0;Fair
1420470000;32.0;7.0;0.21;ESE;3.611111111111111;0.0;1014.64;0.0;Fair
1420473600;32.0;14.0;0.33;E;2.5;0.0;1013.64;0.0;Fair
1420477200;32.0;17.0;0.4;E;3.611111111111111;0.0;1012.64;0.0;Fair
1420480800;33.0;15.0;0.34;SSE;4.166666666666667;0.0;1012.64;0.0;Fair
1420484400;32.0;18.0;0.43;SE;6.666666666666666;0.0;1011.64;0.0;Fair
1420488000;30.0;20.0;0.55;SE;5.555555555555555;0.0;1011.64;0.0;Fair
1420491600;28.0;22.0;0.7;ESE;6.111111111111111;0.0;1012.64;0.0;Fair
1420495200;26.0;22.0;0.78;E;6.666666666666666;0.0;1012.64;0.0;Fair
1420498800;25.0;23.0;0.89;E;5.555555555555555;0.0;1012.64;0.0;Fair
1420502400;25.0;23.0;0.89;ESE;4.166666666666667;0.0;1012.64;0.0;Fair
1420592400;25.0;22.0;0.83;E;5.277777777777778;0.0;1012.64;0.0;Fair
1420509600;25.0;22.0;0.83;E;4.166666666666667;0.0;1012.64;0.0;Fair
1420513200;24.0;22.0;0.89;E;4.166666666666667;0.0;1012.64;0.0;Fair
1420516800;24.0;22.0;0.89;E;3.611111111111111;0.0;1011.64;0.0;Fair
1420520400;24.0;22.0;0.89;E;3.0555555555555554;0.0;1011.64;0.0;Fair
1420524000;23.0;22.0;0.94;E;1.9444444444444444;0.0;1011.64;0.0;Fair
1420527600;23.0;22.0;0.94;E;0.5555555555555556;0.0;1012.64;0.0;Fair
1420531200;24.0;22.0;0.89;VAR;1.6666666666666665;0.0;1013.64;0.0;Fair
1420534800;26.0;22.0;0.78;E;1.6666666666666665;0.0;1013.64;0.0;Fair
1420538400;27.0;21.0;0.7;NNE;1.6666666666666665;0.0;1013.64;0.0;Fair
1420542000;30.0;21.0;0.58;NNW;4.722222222222222;0.0;1013.64;0.0;Fair
1420545600;31.0;20.0;0.52;N;4.166666666666667;0.0;1013.64;0.0;Fair
1420549200;32.0;20.0;0.49;NNW;4.722222222222222;0.0;1012.64;0.0;Fair
1420552800;33.0;22.0;0.52;WNW;4.166666666666667;0.0;1012.64;0.0;Fair
1420556400;34.0;22.0;0.49;NW;4.166666666666667;0.0;1011.64;0.0;Fair
1420560000;35.0;22.0;0.47;WNW;1.6666666666666665;0.0;1011.64;0.0;Fair
1420563600;35.0;23.0;0.49;W;2.5;0.0;1009.64;0.0;Partly Cloudy
1420567200;36.0;22.0;0.44;W;2.5;0.0;1008.64;0.0;Partly Cloudy
1420570800;33.0;25.0;0.63;ESE;7.222222222222222;0.0;1008.64;0.0;Partly Cloudy
1420574400;32.0;24.0;0.62;E;6.111111111111111;0.0;1008.64;0.0;Showers in the Vicinity
1420578000;31.0;22.0;0.58;E;6.666666666666666;0.0;1009.64;0.0;Mostly Cloudy
1420581600;29.0;23.0;0.7;E;4.722222222222222;0.0;1008.64;0.0;Mostly Cloudy
1420585200;29.0;23.0;0.7;E;3.611111111111111;0.0;1009.64;0.0;Partly Cloudy
1420588800;28.0;24.0;0.79;E;3.611111111111111;0.0;1009.64;0.0;Thunder
1420678800;28.0;23.0;0.74;E;3.0555555555555554;0.0;1009.64;0.0;Thunder in the Vicinity
1420596000;27.0;23.0;0.79;ESE;3.611111111111111;0.0;1009.64;0.0;Thunder in the Vicinity
1420599600;27.0;23.0;0.79;E;1.9444444444444444;0.0;1009.64;0.0;Partly Cloudy
1420603200;27.0;23.0;0.79;SSW;1.1111111111111112;0.0;1009.64;0.0;Partly Cloudy
1420606800;28.0;23.0;0.74;SE;1.6666666666666665;0.0;1008.64;0.0;Mostly Cloudy
1420610400;27.0;24.0;0.84;S;2.5;0.0;1008.64;0.0;Partly Cloudy
1420614000;26.0;24.0;0.89;ENE;1.1111111111111112;0.0;1008.64;0.0;Fair
1420617600;26.0;24.0;0.89;NNE;2.5;0.0;1009.64;0.0;Partly Cloudy
1420621200;27.0;24.0;0.84;CALM;0.0;0.0;1009.64;0.0;Fair
1420624800;28.0;24.0;0.79;NNW;3.0555555555555554;0.0;1009.64;0.0;Fair
1420628400;30.0;23.0;0.66;N;5.277777777777778;0.0;1009.64;0.0;Fair
1420632000;31.0;23.0;0.62;NNW;4.722222222222222;0.0;1009.64;0.0;Fair
1420635600;32.0;25.0;0.66;WNW;3.611111111111111;0.0;1009.64;0.0;Fair
1420639200;33.0;25.0;0.63;SW;3.0555555555555554;0.0;1009.64;0.0;Mostly Cloudy
1420642800;34.0;24.0;0.56;WNW;2.5;0.0;1008.64;0.0;Mostly Cloudy
1420646400;32.0;25.0;0.66;E;5.555555555555555;0.0;1008.64;0.0;Mostly Cloudy
1420650000;30.0;25.0;0.74;E;6.666666666666666;0.0;1008.64;0.0;Mostly Cloudy
1420653600;27.0;25.0;0.89;SE;5.277777777777778;0.0;1009.64;0.0;T-Storm
1420654800;24.0;23.0;0.94;NW;9.166666666666666;14.444444444444445;1010.64;0.0;T-Storm / Windy
1420656000;24.0;23.0;0.94;N;4.722222222222222;0.0;1009.64;0.0;Light Rain with Thunder
1420657200;0.0;0.0;0.0;E;2.5;0.0;1009.64;0.0;Light Rain with Thunder
1420660800;0.0;0.0;0.0;VAR;1.1111111111111112;0.0;1009.64;0.0;Thunder in the Vicinity
1420664400;0.0;0.0;0.0;NE;3.0555555555555554;0.0;1010.64;0.0;Thunder in the Vicinity
1420666620;24.0;23.0;0.94;NW;5.277777777777778;0.0;1011.64;0.0;Heavy T-Storm
1420668000;23.0;23.0;1.0;E;6.111111111111111;0.0;1010.64;0.0;Light Rain with Thunder
1420670400;23.0;23.0;1.0;NNE;2.5;0.0;0.0;0.0;Light Rain with Thunder
1420671600;23.0;23.0;1.0;E;1.6666666666666665;0.0;0.0;0.0;Light Rain with Thunder
1420675200;23.0;23.0;1.0;ESE;1.6666666666666665;0.0;0.0;0.0;Thunder in the Vicinity
1420765200;24.0;23.0;0.94;SE;1.9444444444444444;0.0;1011.64;0.0;Thunder in the Vicinity
1420682400;24.0;23.0;0.94;E;2.5;0.0;1010.64;0.0;Mostly Cloudy
1420686000;23.0;22.0;0.94;E;3.0555555555555554;0.0;1009.64;0.0;Mostly Cloudy
1420689600;23.0;22.0;0.94;SW;1.1111111111111112;0.0;1009.64;0.0;Mostly Cloudy
