Time;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Precip.;Condition
1420077600;26.0;21.0;0.74;E;4.722222222222222;0.0;1013.28;0.0;Partly Cloudy
1420081200;26.0;21.0;0.74;E;4.166666666666667;0.0;1013.28;0.0;Partly Cloudy
1420084800;26.0;21.0;0.74;E;4.166666666666667;0.0;1013.28;0.0;Fair
1420088400;26.0;21.0;0.74;E;3.611111111111111;0.0;1013.28;0.0;Partly Cloudy
1420092000;26.0;21.0;0.74;E;3.611111111111111;0.0;1013.28;0.0;Partly Cloudy
1420095600;26.0;21.0;0.74;E;3.611111111111111;0.0;1013.28;0.0;Partly Cloudy
1420099200;26.0;21.0;0.74;ESE;3.0555555555555554;0.0;1014.28;0.0;Partly Cloudy
1420102800;27.0;21.0;0.7;ESE;4.166666666666667;0.0;1014.28;0.0;Partly Cloudy
1420106400;28.0;21.0;0.66;ESE;3.0555555555555554;0.0;1015.28;0.0;Partly Cloudy
1420110000;28.0;21.0;0.66;E;3.0555555555555554;0.0;1015.28;0.0;Partly Cloudy
1420113600;29.0;21.0;0.62;ESE;4.166666666666667;0.0;1015.28;0.0;Partly Cloudy
1420117200;29.0;22.0;0.66;SE;4.722222222222222;0.0;1014.28;0.0;Mostly Cloudy
1420120800;29.0;21.0;0.62;SE;5.555555555555555;0.0;1014.28;0.0;Partly Cloudy
1420124400;0.0;0.0;0.0;ESE;9.722222222222221;0.0;1013.28;0.0;Showers in the Vicinity
1420128000;27.0;21.0;0.7;SE;6.666666666666666;0.0;1012.28;0.0;Mostly Cloudy
1420131600;27.0;21.0;0.7;ESE;5.277777777777778;0.0;1012.28;0.0;Mostly Cloudy
1420135200;27.0;21.0;0.7;ESE;5.555555555555555;0.0;1012.28;0.0;Mostly Cloudy
1420138800;26.0;21.0;0.74;E;5.277777777777778;0.0;1012.28;0.0;Mostly Cloudy
1420142400;26.0;21.0;0.74;ESE;4.166666666666667;0.0;1012.28;0.0;Fair
1420146000;26.0;22.0;0.78;ESE;4.722222222222222;0.0;1012.28;0.0;Partly Cloudy
1420149600;26.0;22.0;0.78;E;6.111111111111111;0.0;1013.28;0.0;Partly Cloudy
1420153200;27.0;22.0;0.74;ESE;5.555555555555555;0.0;1013.28;0.0;Partly Cloudy
1420156800;27.0;21.0;0.7;E;5.277777777777778;0.0;1013.28;0.0;Partly Cloudy
1420160400;26.0;21.0;0.74;ESE;5.555555555555555;0.0;1013.28;0.0;Partly Cloudy
1420164000;26.0;21.0;0.74;ESE;5.277777777777778;0.0;1012.28;0.0;Partly Cloudy
1420167600;26.0;20.0;0.69;ESE;6.111111111111111;0.0;1012.28;0.0;Partly Cloudy
1420171200;26.0;20.0;0.69;ESE;5.277777777777778;0.0;1012.28;0.0;Partly Cloudy
1420174800;26.0;20.0;0.69;E;4.166666666666667;0.0;1012.28;0.0;Partly Cloudy
1420178400;26.0;20.0;0.69;ESE;4.166666666666667;0.0;1012.28;0.0;Partly Cloudy
1420182000;25.0;20.0;0.74;E;3.0555555555555554;0.0;1012.28;0.0;Partly Cloudy
1420185600;27.0;21.0;0.7;E;4.722222222222222;0.0;1013.28;0.0;Partly Cloudy
1420189200;27.0;21.0;0.7;ESE;4.722222222222222;0.0;1014.28;0.0;Partly Cloudy
1420192800;28.0;21.0;0.66;E;6.111111111111111;0.0;1014.28;0.0;Partly Cloudy
1420196400;29.0;21.0;0.62;ESE;7.222222222222222;0.0;1014.28;0.0;Mostly Cloudy
1420200000;29.0;20.0;0.58;ESE;7.777777777777778;0.0;1014.28;0.0;Partly Cloudy
1420203600;29.0;21.0;0.62;SE;7.222222222222222;0.0;1013.28;0.0;Partly Cloudy
1420207200;30.0;20.0;0.55;SE;7.222222222222222;0.0;1013.28;0.0;Partly Cloudy
1420210800;30.0;21.0;0.58;ESE;7.222222222222222;0.0;1012.28;0.0;Partly Cloudy
